global_frame_idx,day_str,video_path,video_name,frame_idx_in_video,frame_time,timestamp_ms
31,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,31,20190701-000015500,1561932015500
32,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,32,20190701-000016000,1561932016000
33,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,33,20190701-000016500,1561932016500
34,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,34,20190701-000017000,1561932017000
35,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,35,20190701-000017500,1561932017500
36,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,36,20190701-000018000,1561932018000
37,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,37,20190701-000018500,1561932018500
38,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,38,20190701-000019000,1561932019000
39,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,39,20190701-000019500,1561932019500
40,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,40,20190701-000020000,1561932020000
41,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,41,20190701-000020500,1561932020500
42,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,42,20190701-000021000,1561932021000
43,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,43,20190701-000021500,1561932021500
44,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,44,20190701-000022000,1561932022000
45,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,45,20190701-000022500,1561932022500
46,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,46,20190701-000023000,1561932023000
47,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,47,20190701-000023500,1561932023500
48,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,48,20190701-000024000,1561932024000
49,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,49,20190701-000024500,1561932024500
50,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,50,20190701-000025000,1561932025000
51,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,51,20190701-000025500,1561932025500
52,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,52,20190701-000026000,1561932026000
53,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,53,20190701-000026500,1561932026500
